epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,42181.9,1.25782,1.05454,1.29314,0.73618,0.56234,0.6498,0.39316,1.4525,1.10611,1.45121,0.000332457,0.000332457,0.000332457
94,42659.7,1.25452,1.04891,1.29381,0.73801,0.56183,0.65004,0.39375,1.45409,1.1061,1.45322,0.000322778,0.000322778,0.000322778
95,43138.4,1.25178,1.04833,1.29319,0.72788,0.56386,0.65083,0.39447,1.45551,1.10599,1.45503,0.00031318,0.00031318,0.00031318
96,43615.8,1.24774,1.04467,1.28999,0.70947,0.56608,0.64971,0.39453,1.45708,1.10539,1.45712,0.000303665,0.000303665,0.000303665
97,44094.2,1.24435,1.03611,1.28961,0.69711,0.56838,0.64885,0.39405,1.45849,1.10509,1.45935,0.000294239,0.000294239,0.000294239
98,44572.5,1.24424,1.0343,1.28646,0.69078,0.58193,0.64971,0.39481,1.46013,1.10493,1.46155,0.000284906,0.000284906,0.000284906
99,45050.6,1.23279,1.02751,1.28293,0.68111,0.58603,0.65135,0.39442,1.46184,1.10517,1.4642,0.000275668,0.000275668,0.000275668
100,45500.6,1.2321,1.02474,1.28064,0.68737,0.59259,0.65285,0.4017,1.46369,1.1051,1.46725,0.000266532,0.000266532,0.000266532
101,45951.6,1.22999,1.01945,1.27928,0.68036,0.58913,0.65166,0.40135,1.46561,1.10608,1.46946,0.0002575,0.0002575,0.0002575
102,46401.7,1.22981,1.01539,1.27666,0.68446,0.58824,0.65118,0.40116,1.46733,1.10734,1.47156,0.000248577,0.000248577,0.000248577
103,46851.9,1.22162,1.01069,1.27311,0.67933,0.58557,0.65024,0.40111,1.46896,1.10781,1.47371,0.000239766,0.000239766,0.000239766
104,47301.4,1.22117,1.00627,1.27007,0.69215,0.58237,0.65163,0.4016,1.47054,1.1076,1.47642,0.000231071,0.000231071,0.000231071
105,47751.2,1.21923,1.00336,1.2706,0.69786,0.58159,0.65143,0.40106,1.47224,1.10778,1.47878,0.000222497,0.000222497,0.000222497
106,48200.2,1.21766,1.00145,1.26646,0.71786,0.57597,0.65152,0.40159,1.47404,1.10901,1.48089,0.000214046,0.000214046,0.000214046
107,48647.3,1.21286,0.99387,1.26439,0.69863,0.57985,0.64708,0.40113,1.47515,1.10997,1.4829,0.000205723,0.000205723,0.000205723
108,49096.8,1.2107,0.991,1.2661,0.70658,0.57349,0.64593,0.4007,1.477,1.11,1.48524,0.000197532,0.000197532,0.000197532
109,49544.3,1.20589,0.98358,1.26039,0.71943,0.57193,0.65043,0.40063,1.47868,1.11022,1.48773,0.000189475,0.000189475,0.000189475
110,49991,1.20232,0.98454,1.25885,0.71912,0.57235,0.65175,0.40082,1.48024,1.11055,1.48996,0.000181557,0.000181557,0.000181557
111,50437.6,1.19996,0.98173,1.25851,0.71994,0.56908,0.65085,0.40049,1.48155,1.11149,1.49197,0.00017378,0.00017378,0.00017378
